phylum,G21040304G6B,G21040803G4B16,G21041501G4B09,G210426G5M3,G21040806G4B,G21040801G4C12,G21040802G4D,G21040502G4B09,G21040504G4B,G21041301G5M3,G21040901G6A,G21040904G6B16,G21041801G6M2,G21040701G6M2,G21040501G6M2,G21030302G6A,G21030305G4B16,G22012009G6B16,G22011202G6B16,G22012904G6M2,G22011004G6M2,G22012005G6B16,G22010903G4B12,G22011801G5B,G22011102G5B13,G22011802G5M3,G22011101G5A,G22011702G4D,G22011701G4D18,G22011703G4B12,G22010203G6A16,G22012801G6A19,G22011001G6A19,G22011201G5A,G22012905G6B,G22012001G6B16,G22011102G6A19,G22012003G6B,G22012902G6A19,G22011202G5B,G22011704G4B,G22010901G4B12,G22010904G6B,G22010802G6B16,G22010801G6A16,G22011002G6A13,G22012007G6M2,G22010205G6B16,G22012901G6A16,G22012002G6A,G22012006G6A19,G22012004G6M2,G22012903G6A,G22011401G6B,G22010903G6A,G22011801G6B16,G21071001G6A19,G21070801G6B,G21071003G6M2,G21071004G6A13,G21070802G6A,G21070803G6A16,G21070804G6A16,G21071201G6A13,G21071202G6A13,G21070803G5B13,G21070801G5M3,G21070901G5M3,G21071102G5A,G21030307G4D,G21030308G4B09,G21030310G4B,G21030304G4C12,G21030306G4M2,G21051402G5B13,G21111301G5B13,G21110401G6A19,G21110402G6A16,G21062206G6M2,G21062201G6A,G21062203G6M2,G21062204G6B16,G21061801G6B,G21110804G6A,G21110803G6A19,G21101601G6B,G21100104G6M2,G21111801G6B,G21101305G6A16,G21100201G6M2,G21100202G6M2,G21101303G6A,G21112201G6B,G21110801G6A13,G21110702G6A,G21101301G6B,G21101302G6A,G21100105G6A,G21100106G6B,G21100108G6B16,G21101202G6M2,G21100101G6A16,G21100103G6A13,G21101304G6B,G21110301G5B13,G21111401G5B13,G21112501G5A,G21092501G4B,G21092503G4B12,G21092406G4C12,G21092402G4M2,G21092401G4D,G21091902G6A13,G21091801G6M2,G21091802G6A16,G21092201G6A,G21092202G6M2,G21091901G6A16,G21092001G6B,G21092301G6A,G21092703G6B,G21082801G6B,G21082103G6M2,G21082902G6M2,G21082903G6A16,G21082904G6B16,G21082104G6A13,G21082105G6B16,G21092701G6M2,G21081301G6M2,G21081302G6A16,G21081303G6B16,G21090202G6B,G21091803G6A,G21090201G6A,G21091804G6B,G21102803G4D18,G21102802G4D,G21101502G4B12,G21101501G4B15,G21112501G4C12,G21082901G5M3,G21122001G6B,G21052504G4B16,G21061901G4D19,G21062501G4D16,G21062601G4D16,G21121502G4B15,G21121503G4B12,G21120502G4D,G22021303G6A,G22020802G6M2,G22020803G6A,G21122901G6M2,G21122201G6M2,G21121301G5A,G21122302G4M2,G21121501G4D,G22020905G4M2,G22020901G4B12,G21121504G4B15,G21122103G4D18,G22020902G4B15,G22020903G4C12,G21122101G4D15,G21122102G4D,G21120601G4C12,G22020904G4B19,G21122003G4B15,G21122002G4B12,G21120602G4D,G21120503G4C12,G22021302G4D18,G22021303G4B12,G22020803G4D15,G22020804G4C12,G22020802G4M2,G22020805G4B,G22020402G6M2,G21121503G6A13,G22021402G6B,G21122202G6A,G22021102G6M2,G22021101G4D,G22021102G4C12,G22021201G4D,G21122301G4M2,G22020203G6A,G21122701G6M2,G21120202G6B,G22020301G6B16,G22021401G6A19,G21122601G6A16,G21120304G6B16,G21122004G4D,G22021301G4D,G21121501G6A,G22020202G6A19,G22021703G6A,G21120301G6A19,G21061902G4M2,G21061904G4B09,G21061905G4D,G22020806G4B12,G22021101G6M2,G22020902G6B,G21052506G4D,G22021103G6B16,G21062201G5M3,G21062502G4B12,G21051602G6B,G21052001G6A13,G21050401G6A,G21050704G6M2,G21050701G6A,G21051302G6M2,G21051902G6B16,G21051903G6M2,G21051301G6B16,G21051601G6B,G21052002G6M2,G21052003G6A16,G21051901G6B,G21051101G6B16,G21122701G4D15,G21060101G5A,G21060301G5A,G21060302G5B,G21060303G5M3,G21051401G5B16,G21053101G5B13,G21051301G5A,G21052701G5B13,G21052103G5A,D059,C039,C040,C041,B099,C043,B100,B065,C042,C044,C045,B084,B046,B066,B048,B064,B049,B067,B045,B044,B061,C037,B063,B050,B096,C050,C051,X063,B098,B047,B097,C046,X068,X069,B092,C036,X057,B068,X058,C035,X067,B043,B040,B041,B042,B083,B052,B080,X066,B095,B091,B058,B059,B081,B082,B035,B036,B037,B030,X055,B039,B070,B089,B069,B090,B053,B055,B056,B057,X056,X065,B094,B071,B054,B038,B093,B077,B034,B079,B033,B085,B086,C047,B031,B032,B072,C049,C048,X062,B088,B087,X059,X060,E032,E031,D013,D078,E028,E029,E030,D040,E033,D077,D041,D074,E034,D076,D075,D005,D043,D004,D042,D003,D039,D044,D012,D066,D079,D081,D014,D065,D080,D038,E025,E036,D015,D070,D030,E023,E024,D037,E021,E022,D071,D036,D032,E004,E020,E019,E018,D063,D064,D033,D067,D068,D073,D069,A078,A079,D062,E026,D001,D002,D034,D011,D010,D035,E017,D009,E027,E035,A084,D072,E001,D028,D029,D008,D046,E002,D006,D007,E003,A080,A077,A034,A035,A083,A076,D027,A096,A025,A026,A030,E005,A029,D016,A082,A081,A036,A046,A075,A051,A048,A095,A037,A049,A028,A074,A050,A073,A027,A069,D057,D058,D023,D024,E016,D026,A042,A043,A070,A097,A085,A086,A072,A039,A040,A087,A044,A060,A061,A053,A054,A058,A098,D025,A071,A038,D017,A052,A062,A068,E015,D019,D020,E006,A092,D018,A091,A094,E007,A041,A057,A066,A067,A088,D061,E014,D060,A055,A090,A056,A089,E008,D047,E012,E011,A063,A064,A065,D022,D051,E010,D048,D021,D049,D050,E009,A045,C057,C062,C063,X009,C058,C064,C060,X025,X015,C065,X033,X034,C061,X036,X035,X003,X004,X010,X014,X011,X016,X002,X024,C068,C069,C056,X001,X022,X023,C055,X020,X029,X019,X030,X031,X038,X012,X028,C054,X026,C067,X008,C066,X017,X018,X007,C053,X021,X040,X039,X005,X006,Y023,Y003,Y022,Y028,Y029,Y030,Y002,Y021,Y009,Y007,Y001,Y006,Y035,Y024,Y025,Y020,Y027,Y014,Y013,Y034,Y004,Y005,Y019,Y008,Y033,Y010,Y018,Y015,Y026,Y031,Y016,Y012,Y011,Y032,Y017,Y036,Y037,Y038,X032,X027,C026,C033,C006,C025,C007,C028,C029,C034,X050,X052,X051,C030,C027,X041,C014,C005,C011,C012,C013,X045,X044,C024,X053,X054,X043,X042,C008,C004,C003,X049,X048,C002,C009,C015,C018,C016,C023,C001,C021,C022,C010,C019,X047,X046,A110,A113,A114,A111,A125,A112,A108,A126,A107,A115,A106,A105,A099,A100,A109,A116,A124,A117,A118,A101,A123,A122,A119,A102,A103,A121,A104,A120,C0104,C0103,C0102,C0105,C0106,C0108,C0117,C0114,C0113,C0112,C0115,C0116,C0111,C0110,B2022042910,B2022031108,B2022042804,B2022031107,B2022030704,B2022042601,B2022030806,B2022031311,B2022030703,B2022042807,B2022042703,B2022042602,B2022030601,B2022031812,B2022042805,B2022042909,B2022042911,B2022031106,B2022042808,B2022042806,B2022030602,B2022031210,B2022070701,B2022062005,B2022110201,B2022101107,B2022090305,B2022090306,B2022071605,B2022090201,B2022090307,B2022050702,B2022101208,B2022051003,B2022090202,B2022050601,B2022100706,B2022082113,B2022082111,B2022080302,B2022090203,B2022090204,B2022090308,B2022051004,B2022062004,B2022110506,B2022090510,B2022101209,B2022101211,B2022090511,B2022061301,B2022100605,B2022101210,B2022111313,B2022082215,B2022110608,B2022110607,B2022110304,B2022110203,B2022100604,B2022101614,B2022110609,B2022082216,B2022080305,B2022100601,B2022100602,B2022051506,B2022082217,B2022082219,B2022101312,B2022061303,B2022051509,B2022051507,B2022081809,B2022110812,B2022061302,B2022051508,B2022090409,B2022110305,B2022071604,C220216,C220214,C220209,C220208,C220304,C220305,C220210,C220212,C220215,C220213,C220211,C220207,C220312,C220303,C220204,C220203,C220218,C220302,C220205,C220206,B2022110811,B2022060401,C220502,C220503,C220511,C220512,C220602,C220510,C220515,C220506,C220507,C220514,C220509,C220501,C220604,C220607,C220508,B2022060501,C220606,C220609,C220513,B2022051305,B2022080407,C220601,C2206010,C2206011,C2206012,B2022120602,B2022120603,B2022120604,B2022121010,B2022121009,B2022120907,B2022120908,B2022120605,B2022120401,B2022120806,C220908,C221110,C220313,C220306,C220201,C220311,C220307,C220314,C220202,C220308,C220310,C220315,C220316,C220317,C220318,C220319,C220309,C220910,C220706,C220907,C221108,C220911,C221019,C221005,C221008,C221004,C220707,C221017,C221117,C221009,C221014,C220709,C220710,C221015,C220804,C220708,C220711,C220712,C2206016,C2206017,C220805,C221101,C221107,C221010,C221118,C221011,C220801,C221210,C221111,C221102,C221114,C220903,C221109,C2206015,C221012,C221013,C220902,C220904,C220905,C221001,C221106,C220713,C220806,C220714,C220715,C220716,C221003,C221113,C220906,C220701,C220802,C220803,C220809,C220901,C220811,C221116,C220810,C221115,C221104,C221105,C221002,C221103,C221208,C220812,C221206,C221207,C221112,C220808,C220702,C221209,C220703,C220704,C221202,C221203,C221201,C221205,C221204,B2022010813,B2022010816,B2022010815,B2022021001,B2022021102,B2022021103,B2022021104,B2022010203,B2022010201,B2022010204,B2022010611,B2022010612,B2022010507,B2022021311,B2022021209,B2022021310,B2022021312,B2022021207,B2022010405,B2022010506,B2022021105,C220407,B2022021208,C220409,C220401,C220403,C220408,C220406,C220411,C220413,C220404,C220405
Acidobacteriota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069132981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteriota,0.019470548,0.008066006,0.034163656,0.005575758,0.016167999,0.017886802,0.024485922,0.008783952,0.007471299,0.004515929,0.007189423,0.017869416,0.006113217,0.0135625,0.021083067,0.017991096,0.017634093,0.009983161,0.005118632,0.005024213,0.008459726,0.010565569,0.001678255,0.004710376,0.00508039,0.003298481,0.005271769,0.006077016,0.002880461,0.004216315,0.004530281,0.009118731,0.015191705,0.004358235,0.007381624,0.004614617,0.021676301,0.011167389,0.012761964,0.005951643,0.001532614,0.000948261,0.004448452,0.006100876,0.007415512,0.024172487,0.004240723,0.001322274,0.010117212,0.012294568,0.007698418,0.013818546,0.01733284,0.018194237,0.042594385,0.009072394,0.019474638,0.006493506,0.01311596,0.002128695,0.001934002,0.002956161,0.0179307,0.008865679,0.002459213,0,0.002509814,0.002402082,0,0.010413438,0.016143997,0.019470453,0.034696174,0.013097776,0.003333745,0.005104582,0.002765919,0.001957306,0.006251915,0.011392801,0.009646302,0.007443406,0.005821357,0.000596659,0.003316438,0.000606943,0.000775934,0.005935078,0.006464203,0.003092596,0.005386757,0.002201296,0,0.001160093,0.00036162,0.0033886,0.001567587,0.0051748,0.002851596,0.015673222,0.003750234,0.003805267,0.002993639,0.001437642,0.001358696,0.000182105,0.000371655,0.002727769,0.008501852,0.001038105,0.00372042,0.002759945,0.007377557,0.01177281,0.009555109,0.001443998,0.003050109,0.008065032,0.023172906,0.001626702,0.007604794,0.035349716,0.017564403,0.024874387,0.012019231,0.010156632,0.038366013,0.022518711,0.004390185,0.010796221,0.005327618,0.020248163,0.0133814,0.00940262,0.037836793,0.008082158,0.000423831,0.004655205,0.002393078,0.004576376,0.015493746,0.007937996,0.005175038,0.003594536,0.006311711,0.001860696,0.00212585,0.0049131,0.000852775,0.001049124,0.007931099,0.031339588,0.015062295,0.022897054,0.008397356,0.008268006,0.009735744,0.000302755,0,0.008674404,0.002569279,0.001981149,0.005042834,0.000547046,0.002503278,0.002280572,0.00563773,0.001295337,0.009185548,0.001526252,0,0.024136877,0.002008766,0.001450326,0.001635075,0.000561377,0.001046089,0.000247112,0.001410956,0.010441816,0.004696867,0.003575898,0.007124432,0,0.003125,0.003084706,0.001987593,0.000303804,0.002874251,0.000662092,0.005430847,0.016549207,0.002491492,0.001056491,0.002709048,0.001283619,0.011529311,0.001347626,0.001031804,0.00660502,0.004002796,0.000947388,0.000504191,0.002426743,0.013688629,0.003031405,0.016057146,0.004567619,0.00507277,0.000681199,0.01364656,0.007971548,0.008009935,0.020271988,0.024842806,0.005623472,0.00341943,0.005867971,0.00339611,0.015776176,0.004175109,0.005009896,0.013443704,0.007791244,0.001020715,0.006523197,0,0.002171485,0.00245283,0.001860074,0.002362596,0.006537157,0.003302752,0.006651042,0.064766681,0.028856957,0.019325117,0.048370823,0.052512945,0.060881952,0.02331978,0.02743614,0.034273213,0.127894638,0.042740299,0.10173638,0.033819385,0.087123991,0.051735587,0.019377205,0.036242647,0.029533835,0.017414812,0.027946609,0.015397032,0.030328308,0.024547561,0.05343658,0.058419457,0.055924459,0.033546905,0.136911613,0.151282696,0.030848834,0.15347101,0.099476125,0.077144744,0.068037778,0.063367389,0.094351651,0.053840941,0.011567895,0.056710214,0.114853708,0.042797619,0.039173967,0.022366431,0.025362974,0.018003961,0.031627406,0.021569471,0.034873106,0.020981931,0.086591335,0.07428979,0.035583942,0.033019761,0.064521927,0.085650794,0.024749705,0.080987203,0.020631579,0.055798341,0.074152671,0.048221443,0.010233017,0.098171008,0.06440678,0.140124611,0.024579963,0.071073652,0.033011272,0.065247881,0.076001431,0.037189333,0.039346784,0.093211009,0.072293623,0.04295175,0.043706078,0.048292325,0.05690908,0.089189679,0.052573597,0.038830632,0.023681569,0.11319403,0.018594918,0.020202629,0.017593712,0.108796572,0.023126186,0.057695764,0.078522505,0.026512658,0.062073915,0.045585442,0.062329968,0.041689931,0.055619231,0.049936598,0.03006036,0.148942805,0.027958589,0.057048215,0.043255926,0.059714147,0.054892745,0.035663602,0.020049828,0.041389943,0.081060413,0.030853431,0.032108961,0.03379224,0.035632461,0.034695358,0.019334505,0.036740147,0.096961013,0.080054526,0.058266709,0.077164675,0.111308612,0.087037729,0.052434457,0.049942886,0.058391082,0.059219541,0.069710241,0.067861128,0.063446287,0.106020109,0.033399411,0.069075253,0.074194888,0.02755529,0.06913791,0.081328404,0.016614496,0.040507713,0.059248922,0.017205577,0.125451264,0.07208323,0.097619048,0.022549716,0.103195739,0.120229248,0.042133961,0.075383956,0.030200939,0.04638626,0.080506895,0.087818525,0.095364238,0.386839056,0.055883966,0.048599473,0.05288605,0.081038168,0.048862574,0.044546851,0.037996546,0.068011734,0.061753586,0.045411362,0.031852822,0.044209656,0.073465806,0.08005849,0.069200227,0.041822167,0.087731113,0.159017661,0.056072508,0.023957142,0.041805312,0.039378745,0.074554395,0.049689826,0.049317055,0.027471863,0.214649836,0.032258065,0.044869368,0.029409996,0.029339707,0.059471772,0.05188708,0.090113951,0.048787842,0.022199617,0.124275517,0.045489841,0.053084562,0.08658145,0.037028203,0.030619554,0.047317336,0.040111593,0.029264369,0.046071987,0.026360705,0.068704657,0.098346706,0.143061687,0.078689783,0.09524668,0.13627893,0.040120846,0.044574676,0.095550693,0.044280443,0.027041644,0.089666193,0.145745008,0.157965439,0.090314136,0.109354247,0.081216345,0.111492591,0.037759635,0.05821256,0.049709529,0.040447504,0.094486772,0.03968852,0.086264553,0.128255675,0.038114997,0.033294924,0.056886228,0.070931007,0.049902442,0.035210849,0.043793854,0.134764,0.183632019,0.114280501,0.086281813,0.048779039,0.067862615,0.208070154,0.069055003,0.080616517,0.040790039,0.056460966,0.0775818,0.066892358,0.05642221,0.079432196,0.050393798,0.041413781,0.037639008,0.07373094,0.103821502,0.067740955,0.101975473,0.043347085,0.040555854,0.081077778,0.153750311,0.100501221,0.050252172,0.032113714,0.030090931,0.053787786,0.090186803,0.033102527,0.144287215,0.103003466,0.021692108,0.041365842,0.053040582,0.023739048,0.05108378,0.033837988,0.052647163,0.030217976,0.035982459,0.037985185,0.04232867,0.185236938,0.117597446,0.020894992,0.054304079,0.06589171,0.036186168,0.043324332,0.035111329,0.071812081,0.03135804,0.027628274,0.087706194,0.040195841,0.058869326,0.080126863,0.023798134,0.048313528,0.033117308,0.024971892,0.043947525,0.057880516,0.211559633,0.018832844,0.064504526,0.074704719,0.095232362,0.076936787,0.126075012,0.01948167,0.070004269,0.056477211,0.024073412,0.057105389,0.119670543,0.05808828,0.027736533,0.039016217,0.026524571,0.024864672,0.208884061,0.09115792,0.026968587,0.077737871,0.195305901,0.263024755,0.143117815,0.105653774,0.089829159,0.037488061,0.078728606,0.258761717,0.097663346,0.070622304,0.029263914,0.037917581,0.109399167,0.049881235,0.066371681,0.017774067,0.047963966,0.311893353,0.031869899,0.11621147,0.071364101,0.038386236,0.210488071,0.046156598,0.077197221,0.036291295,0.025791325,0.1676325,0.08092978,0.055087027,0.026277194,0.070122328,0.02324334,0.07218172,0.03019432,0.031805766,0.075675676,0.107787332,0.079596207,0.02700073,0.122173641,0.138983264,0.090030581,0.096114272,0.042569752,0.065594059,0.0103854,0.053571429,0.045500808,0.047353423,0.026100368,0.056535208,0.134738992,0.089877357,0.12647576,0.119832486,0.111502118,0.150618482,0.048721514,0.084778065,0.020077174,0.040808824,0.058091035,0.044168434,0.155180694,0.203811252,0.070090597,0.239101466,0.083063441,0.041138115,0.033586781,0.110347461,0.197956274,0.134960876,0.138532274,0.03273293,0.148716076,0.033809985,0.027416771,0.0422485,0.029537875,0.056721429,0.047656344,0.114874903,0.1069041,0.126741791,0.045925394,0.040217259,0.079892119,0.106819442,0.06790348,0.068533933,0.145133273,0.099411694,0.085067174,0.076272733,0.058672709,0.057529405,0.042191814,0.054333454,0.045380875,0.062711362,0.051601962,0.017145255,0.048787824,0.150416992,0.092826751,0.131070278,0.035570071,0.080316742,0.066334195,0.077188104,0.014334966,0.020456992,0.016518887,0.051815981,0.023187158,0.003620128,0.009013311,0.013518342,0.008776119,0.006794132,0.003779336,0.003214668,0.049885252,0.016138602,0.024435751,0.018144921,0.013222242,0.003941475,0.018359491,0.021116505,0.016878655,0.020842143,0.030525177,0.071060515,0.012700495,0.019928187,0.004803074,0.003989045,0.017898418,0.062251176,0.031096563,0.032337413,0.020031855,0.008800814,0.01660227,0.032003939,0.041968977,0.018720563,0.014508161,0.036733962,0.043384597,0.010773131,0.00746767,0.043554217,0.012902455,0.008528149,0.024909555,0.028102755,0.018337556,0.060411157,0.041729664,0.076499691,0.021956926,0.365450708,0.055395683,0.006526946,0.096299411,0.020159518,0.082159064,0.036927888,0.033747334,0.021275295,0.049348622,0.019059798,0.093483895,0.013241011,0.007653061,0.037291403,0.197138027,0.101366267,0.061879848,0.047806592,0.019293395,0.110288675,0.084649096,0.00638501,0.0611132,0.013459353,0.146922076,0.026690712,0.065404056,0.015640274,0.089503563,0.022067005,0.006584802,0.00660557,0.031090909,0.005431539,0.014899158,0.009768668,0.02936107,0.032368484,0.004777831,0.072677203,0.019340294,0.021693659,0.02392917,0.019991645,0.005097807,0.013648665,0.001060695,0.035567471,0.017774618,0.012380783,0.025561815,0.043992628,0.007259089,0.032080497,0.09148567,0.020996907,0.005929332,0.015387368,0.043530616,0.026521713,0.022551391,0.039158247,0.051887358,0.054399524,0.045237527,0.049249359,0.103522905,0.102319727,0.02173012,0.056072551,0.051726234,0.016647566,0.030750894,0.019360621,0.012547506,0.036686883,0.013347829,0.019948441,0.017810184,0.035598511,0.022868897,0.014942323,0.011594731,0.029822757,0.03027903,0.025912696,0.024638128,0.043875575,0.028671591,0.019704433,0.033643392,0.037716114,0.022255459,0.119143593,0.036406708,0.013283773,0.0687974,0.01621455,0.055926147,0.019817795,0.047284002,0.028855899,0.037277051,0.084245597,0.050009038,0.044435166,0.023990356,0.029497628,0.014222222,0.009959687,0.006271076,0.01147929,0.019660411,0.188939525,0.086146187,0.022429241,0.062438905,0.116510182,0.065315042,0.030725753,0.042506128,0.084501087,0.011279774,0.030031108,0.004376233,0.018105685,0.07817811,0.03255814,0.107276865,0.120556414,0.075222579,0.057732084,0.024488304,0.032030203,0.014791465,0.016542447,0.010256714,0.013742072,0.012135186,0.016834618,0.027962144,0.044293219,0.04784718,0.014538437,0.038693559,0.01480688,0.014699629,0.048655964,0.010707022,0.001714041,0.077460547,0.051677732,0.074905258,0.035549903,0.025610482,0.013225886,0.007518797,0.060997488,0.011688931,0.031259393,0.049712161,0.026686075,0.032189493,0.0161153,0.012694301,0.028963812,0.064160647,0.171499787,0.335609524,0.10289934,0.009141423,0.006320057,0.016426113,0.006104468,0.026924695,0.014081953,0.006143838,0.053009828,0.02887218,0.015342854,0.019557511,0.030056664,0.018528778,0.007224312,0.037521924,0.026006305,0.068356665,0.16,0.02890933,0.017383853,0.010771558,0.010764594,0.030366906,0.039809606,0.005265362,0.019798983,0.012286038,0.020123178,0.007550181,0.012053487,0.009505586,0.002307965,0.011854158,0.001943162,0.017341741,0.002294825,0.01911747,0.022521691,0.006421413,0.022987816,0.005255348,0.001167793,0.008856089,0.009669333,0.0149979,0.016462174,0.030344418,0.029812915,0.108401407,0.012600776,0.015131657,0.003539504,0.023405535,0.012368658,0.006722589
