family,G21040304G6B,G21040803G4B16,G21041501G4B09,G210426G5M3,G21040806G4B,G21040801G4C12,G21040802G4D,G21040502G4B09,G21040504G4B,G21041301G5M3,G21040901G6A,G21040904G6B16,G21041801G6M2,G21040701G6M2,G21040501G6M2,G21030302G6A,G21030305G4B16,G22012009G6B16,G22011202G6B16,G22012904G6M2,G22011004G6M2,G22012005G6B16,G22010903G4B12,G22011801G5B,G22011102G5B13,G22011802G5M3,G22011101G5A,G22011702G4D,G22011701G4D18,G22011703G4B12,G22010203G6A16,G22012801G6A19,G22011001G6A19,G22011201G5A,G22012905G6B,G22012001G6B16,G22011102G6A19,G22012003G6B,G22012902G6A19,G22011202G5B,G22011704G4B,G22010901G4B12,G22010904G6B,G22010802G6B16,G22010801G6A16,G22011002G6A13,G22012007G6M2,G22010205G6B16,G22012901G6A16,G22012002G6A,G22012006G6A19,G22012004G6M2,G22012903G6A,G22011401G6B,G22010903G6A,G22011801G6B16,G21071001G6A19,G21070801G6B,G21071003G6M2,G21071004G6A13,G21070802G6A,G21070803G6A16,G21070804G6A16,G21071201G6A13,G21071202G6A13,G21070803G5B13,G21070801G5M3,G21070901G5M3,G21071102G5A,G21030307G4D,G21030308G4B09,G21030310G4B,G21030304G4C12,G21030306G4M2,G21051402G5B13,G21111301G5B13,G21110401G6A19,G21110402G6A16,G21062206G6M2,G21062201G6A,G21062203G6M2,G21062204G6B16,G21061801G6B,G21110804G6A,G21110803G6A19,G21101601G6B,G21100104G6M2,G21111801G6B,G21101305G6A16,G21100201G6M2,G21100202G6M2,G21101303G6A,G21112201G6B,G21110801G6A13,G21110702G6A,G21101301G6B,G21101302G6A,G21100105G6A,G21100106G6B,G21100108G6B16,G21101202G6M2,G21100101G6A16,G21100103G6A13,G21101304G6B,G21110301G5B13,G21111401G5B13,G21112501G5A,G21092501G4B,G21092503G4B12,G21092406G4C12,G21092402G4M2,G21092401G4D,G21091902G6A13,G21091801G6M2,G21091802G6A16,G21092201G6A,G21092202G6M2,G21091901G6A16,G21092001G6B,G21092301G6A,G21092703G6B,G21082801G6B,G21082103G6M2,G21082902G6M2,G21082903G6A16,G21082904G6B16,G21082104G6A13,G21082105G6B16,G21092701G6M2,G21081301G6M2,G21081302G6A16,G21081303G6B16,G21090202G6B,G21091803G6A,G21090201G6A,G21091804G6B,G21102803G4D18,G21102802G4D,G21101502G4B12,G21101501G4B15,G21112501G4C12,G21082901G5M3,G21122001G6B,G21052504G4B16,G21061901G4D19,G21062501G4D16,G21062601G4D16,G21121502G4B15,G21121503G4B12,G21120502G4D,G22021303G6A,G22020802G6M2,G22020803G6A,G21122901G6M2,G21122201G6M2,G21121301G5A,G21122302G4M2,G21121501G4D,G22020905G4M2,G22020901G4B12,G21121504G4B15,G21122103G4D18,G22020902G4B15,G22020903G4C12,G21122101G4D15,G21122102G4D,G21120601G4C12,G22020904G4B19,G21122003G4B15,G21122002G4B12,G21120602G4D,G21120503G4C12,G22021302G4D18,G22021303G4B12,G22020803G4D15,G22020804G4C12,G22020802G4M2,G22020805G4B,G22020402G6M2,G21121503G6A13,G22021402G6B,G21122202G6A,G22021102G6M2,G22021101G4D,G22021102G4C12,G22021201G4D,G21122301G4M2,G22020203G6A,G21122701G6M2,G21120202G6B,G22020301G6B16,G22021401G6A19,G21122601G6A16,G21120304G6B16,G21122004G4D,G22021301G4D,G21121501G6A,G22020202G6A19,G22021703G6A,G21120301G6A19,G21061902G4M2,G21061904G4B09,G21061905G4D,G22020806G4B12,G22021101G6M2,G22020902G6B,G21052506G4D,G22021103G6B16,G21062201G5M3,G21062502G4B12,G21051602G6B,G21052001G6A13,G21050401G6A,G21050704G6M2,G21050701G6A,G21051302G6M2,G21051902G6B16,G21051903G6M2,G21051301G6B16,G21051601G6B,G21052002G6M2,G21052003G6A16,G21051901G6B,G21051101G6B16,G21122701G4D15,G21060101G5A,G21060301G5A,G21060302G5B,G21060303G5M3,G21051401G5B16,G21053101G5B13,G21051301G5A,G21052701G5B13,G21052103G5A,D059,C039,C040,C041,B099,C043,B100,B065,C042,C044,C045,B084,B046,B066,B048,B064,B049,B067,B045,B044,B061,C037,B063,B050,B096,C050,C051,X063,B098,B047,B097,C046,X068,X069,B092,C036,X057,B068,X058,C035,X067,B043,B040,B041,B042,B083,B052,B080,X066,B095,B091,B058,B059,B081,B082,B035,B036,B037,B030,X055,B039,B070,B089,B069,B090,B053,B055,B056,B057,X056,X065,B094,B071,B054,B038,B093,B077,B034,B079,B033,B085,B086,C047,B031,B032,B072,C049,C048,X062,B088,B087,X059,X060,E032,E031,D013,D078,E028,E029,E030,D040,E033,D077,D041,D074,E034,D076,D075,D005,D043,D004,D042,D003,D039,D044,D012,D066,D079,D081,D014,D065,D080,D038,E025,E036,D015,D070,D030,E023,E024,D037,E021,E022,D071,D036,D032,E004,E020,E019,E018,D063,D064,D033,D067,D068,D073,D069,A078,A079,D062,E026,D001,D002,D034,D011,D010,D035,E017,D009,E027,E035,A084,D072,E001,D028,D029,D008,D046,E002,D006,D007,E003,A080,A077,A034,A035,A083,A076,D027,A096,A025,A026,A030,E005,A029,D016,A082,A081,A036,A046,A075,A051,A048,A095,A037,A049,A028,A074,A050,A073,A027,A069,D057,D058,D023,D024,E016,D026,A042,A043,A070,A097,A085,A086,A072,A039,A040,A087,A044,A060,A061,A053,A054,A058,A098,D025,A071,A038,D017,A052,A062,A068,E015,D019,D020,E006,A092,D018,A091,A094,E007,A041,A057,A066,A067,A088,D061,E014,D060,A055,A090,A056,A089,E008,D047,E012,E011,A063,A064,A065,D022,D051,E010,D048,D021,D049,D050,E009,A045,C057,C062,C063,X009,C058,C064,C060,X025,X015,C065,X033,X034,C061,X036,X035,X003,X004,X010,X014,X011,X016,X002,X024,C068,C069,C056,X001,X022,X023,C055,X020,X029,X019,X030,X031,X038,X012,X028,C054,X026,C067,X008,C066,X017,X018,X007,C053,X021,X040,X039,X005,X006,Y023,Y003,Y022,Y028,Y029,Y030,Y002,Y021,Y009,Y007,Y001,Y006,Y035,Y024,Y025,Y020,Y027,Y014,Y013,Y034,Y004,Y005,Y019,Y008,Y033,Y010,Y018,Y015,Y026,Y031,Y016,Y012,Y011,Y032,Y017,Y036,Y037,Y038,X032,X027,C026,C033,C006,C025,C007,C028,C029,C034,X050,X052,X051,C030,C027,X041,C014,C005,C011,C012,C013,X045,X044,C024,X053,X054,X043,X042,C008,C004,C003,X049,X048,C002,C009,C015,C018,C016,C023,C001,C021,C022,C010,C019,X047,X046,A110,A113,A114,A111,A125,A112,A108,A126,A107,A115,A106,A105,A099,A100,A109,A116,A124,A117,A118,A101,A123,A122,A119,A102,A103,A121,A104,A120,C0104,C0103,C0102,C0105,C0106,C0108,C0117,C0114,C0113,C0112,C0115,C0116,C0111,C0110,B2022042910,B2022031108,B2022042804,B2022031107,B2022030704,B2022042601,B2022030806,B2022031311,B2022030703,B2022042807,B2022042703,B2022042602,B2022030601,B2022031812,B2022042805,B2022042909,B2022042911,B2022031106,B2022042808,B2022042806,B2022030602,B2022031210,B2022070701,B2022062005,B2022110201,B2022101107,B2022090305,B2022090306,B2022071605,B2022090201,B2022090307,B2022050702,B2022101208,B2022051003,B2022090202,B2022050601,B2022100706,B2022082113,B2022082111,B2022080302,B2022090203,B2022090204,B2022090308,B2022051004,B2022062004,B2022110506,B2022090510,B2022101209,B2022101211,B2022090511,B2022061301,B2022100605,B2022101210,B2022111313,B2022082215,B2022110608,B2022110607,B2022110304,B2022110203,B2022100604,B2022101614,B2022110609,B2022082216,B2022080305,B2022100601,B2022100602,B2022051506,B2022082217,B2022082219,B2022101312,B2022061303,B2022051509,B2022051507,B2022081809,B2022110812,B2022061302,B2022051508,B2022090409,B2022110305,B2022071604,C220216,C220214,C220209,C220208,C220304,C220305,C220210,C220212,C220215,C220213,C220211,C220207,C220312,C220303,C220204,C220203,C220218,C220302,C220205,C220206,B2022110811,B2022060401,C220502,C220503,C220511,C220512,C220602,C220510,C220515,C220506,C220507,C220514,C220509,C220501,C220604,C220607,C220508,B2022060501,C220606,C220609,C220513,B2022051305,B2022080407,C220601,C2206010,C2206011,C2206012,B2022120602,B2022120603,B2022120604,B2022121010,B2022121009,B2022120907,B2022120908,B2022120605,B2022120401,B2022120806,C220908,C221110,C220313,C220306,C220201,C220311,C220307,C220314,C220202,C220308,C220310,C220315,C220316,C220317,C220318,C220319,C220309,C220910,C220706,C220907,C221108,C220911,C221019,C221005,C221008,C221004,C220707,C221017,C221117,C221009,C221014,C220709,C220710,C221015,C220804,C220708,C220711,C220712,C2206016,C2206017,C220805,C221101,C221107,C221010,C221118,C221011,C220801,C221210,C221111,C221102,C221114,C220903,C221109,C2206015,C221012,C221013,C220902,C220904,C220905,C221001,C221106,C220713,C220806,C220714,C220715,C220716,C221003,C221113,C220906,C220701,C220802,C220803,C220809,C220901,C220811,C221116,C220810,C221115,C221104,C221105,C221002,C221103,C221208,C220812,C221206,C221207,C221112,C220808,C220702,C221209,C220703,C220704,C221202,C221203,C221201,C221205,C221204,B2022010813,B2022010816,B2022010815,B2022021001,B2022021102,B2022021103,B2022021104,B2022010203,B2022010201,B2022010204,B2022010611,B2022010612,B2022010507,B2022021311,B2022021209,B2022021310,B2022021312,B2022021207,B2022010405,B2022010506,B2022021105,C220407,B2022021208,C220409,C220401,C220403,C220408,C220406,C220411,C220413,C220404,C220405
[Clostridium]_methylpentosum_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003789291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00088748,0,0,0,0,0.00112669,0,0.00079085,0,0.000982801,0,0.000240486,0,0,0,0,0.002079133,0.001732435,0.000834885,0,0,0.000421763,0,0,0,0,0,0,0,0,0,0,0.001495048,0.00083569,0.001611844,0,0,0,0,0,0.001595507,0.000757337,0.001923435,0,0.001015873,0,0,0,0,0.001673588,0,0,0,0.001641,0,0,0,0,0,0,0,0,0,0.001146424,0,0,0,0.00160722,0.000364454,0,0,0.002046892,0,0,0,0,0,0.000712897,0,0,0,0,0,0,0,0.00209205,0.000930171,0.001159385,0,0,0,0,0,0,0,0.000256262,0,0,0,0,0,0,0,0,0.00307163,0,0.003451199,0,0,0.000313165,0,0,0,0,0,0,0.002184864,0,0.003932958,0,0,0.000723633,0,0,0,0.000863132,0,0,0,0.001167291,0,0.000757241,0,0,0,0,0,0.001698126,0,0,0,0,0,0,0.002532768,0,0,0,0,0,0,0.001747597,0,0,0.001087096,0,0,0,0,0.000863398,0,0.001044034,0.000627156,0.000586281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001278954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000554563,0.000369845,0,0,0,0,0,0.001009145,0,0,0,0,0.000246472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Eubacterium]_coprostanoligenes_group,0.017286915,0.013416387,0.030293265,0.00848544,0.024346581,0.011579593,0.00387202,0.005371187,0.01278288,0.012611032,0.004450378,0.005830904,0.005973716,0.0067573,0.006833484,0.006461538,0.015031122,0.007771371,0.004509865,0.002497868,0.006906077,0.004592928,0.007996864,0.005257084,0.004316547,0.004717575,0.010088429,0.003756665,0.00345706,0.009190263,0.005546685,0.007613247,0.005736349,0.003103573,0.000680904,0.00999742,0.003507075,0.005912674,0.004314231,0.003012048,0,0.005178951,0.006175717,0.003644824,0.014198191,0.007132932,0.000569981,0.004344049,0.009198999,0.007607056,0.004642409,0.007648819,0.005943168,0.013812842,0.006134969,0.010486237,0.027684619,0.001073165,0.021715611,0.012770513,0.004082895,0.010283171,0.007482732,0.00604698,0.004210249,0.002378929,0.024810793,0.00737956,0.009238473,0.020496324,0.015755176,0.02359628,0.037125363,0.015915119,0.01487081,0.005321827,0.018142103,0.005507085,0.005835247,0.005072181,0.003856289,0.004423952,0.001371832,0.004954268,0.005134381,0.004265432,0.004823614,0.00240135,0.004864359,0.00679263,0.004534291,0.002306509,0.001158227,0.003372164,0.00450972,0.005539386,0.006083294,0.010710892,0.006789766,0.011012689,0.006329569,0.009007151,0.004942,0.005574068,0.001308574,0.0018701,0,0.030379976,0.005472815,0.006107098,0.017864519,0.003892772,0.013447433,0.029015458,0.047153025,0.00437182,0.00464775,0.01569784,0.100893326,0.001121885,0.009092298,0.009353181,0.008034026,0.005064641,0.007652034,0.00977083,0.009451924,0.019314019,0.02768872,0.010744485,0.004660933,0.012202819,0.033620404,0.016933946,0.047465065,0.046721633,0.005166545,0.012388719,0.075134834,0.018620818,0.003389342,0.034314429,0.006479964,0.00474828,0.016924349,0.012367376,0.005147747,0.004642892,0.001166521,0.004447786,0.002486834,0.009533813,0.007704655,0.004012402,0.003748477,0.002912857,0.005707538,0.004278548,0.007272031,0.01182352,0.003861004,0.003422874,0.011531971,0.005944339,0.008267534,0.009866327,0.019087053,0.002147075,0.000538648,0.005241741,0.002350462,0.007843137,0.01221305,0.012773723,0.004033885,0.010620575,0.013465475,0.003059613,0.004137574,0.005199572,0.006663065,0.004195232,0.003547119,0.009212428,0.006951452,0.021682411,0,0.001659125,0.004989059,0.003013035,0.000476145,0.021159543,0.008011259,0.006115792,0.005495356,0.012027015,0.007120834,0.003976934,0.003886102,0.007757805,0.006524242,0.002411627,0.005227591,0.003696733,0.00631251,0.009244005,0.007927595,0.006789061,0.005426552,0.00896252,0.005221111,0.007031736,0.006384977,0.048645518,0.006650093,0.010158222,0.007292446,0.012557791,0.00791228,0.001626016,0.006863291,0.008106254,0.008633824,0.004881712,0.007527556,0.010419878,0.004767093,0.012435015,0.00703125,0.00373539,0.004579386,0.005107443,0.005188067,0.012511228,0.03863834,0.050691521,0.014220294,0.034086169,0.002465939,0.011924394,0.012448881,0.017283509,0.025777289,0.022621254,0.010546624,0.013276751,0.009122288,0.006924266,0.005796217,0.020271118,0.026353704,0.007759927,0.011246725,0.008535706,0.021132925,0.019337844,0.016043802,0.019256866,0.005517669,0.023525087,0.004266732,0.014993521,0.016833077,0.016989489,0.009768385,0.00639503,0.023988369,0.050015868,0.015352574,0.029618636,0.021882821,0.01637385,0.0090572,0.029469548,0.0122571,0.018958849,0.012332268,0.008264463,0.012238716,0.005271039,0.015306439,0.011819179,0.014160244,0.018560352,0.004677381,0.027969443,0.023435012,0.012506013,0.047421185,0.015531888,0.011046655,0.006833989,0.0441097,0.019729946,0.020447162,0.011822965,0.031370499,0.010555416,0.013467158,0.025739459,0.019315077,0.01487593,0.012709773,0.013111782,0.027322404,0.005281899,0.013635526,0.020715984,0.014196189,0.0097455,0.007499385,0.020073792,0.01335762,0.022144595,0.045056,0.00166113,0.028979318,0.015880713,0.005201958,0.008735214,0.011618759,0.012438255,0.009132696,0.018899286,0.003923936,0.006365179,0.020335377,0.018510625,0.031998491,0.034541578,0.015244871,0.014438696,0.018895534,0.034094503,0.032417239,0.020754946,0.029067272,0.0192,0.015277338,0.020861894,0.016378471,0.027765193,0.017413087,0.048447672,0.01907504,0.026098065,0.017863675,0.03955774,0.018687554,0.037094932,0.026164606,0.049747987,0.024580936,0.017891413,0.060609879,0.017709336,0.043992036,0.016284864,0.019702647,0.026149304,0.063531134,0.016138855,0.030118161,0.019252891,0.029996203,0.023191706,0.023509656,0.020413228,0.02004008,0.011705787,0.028405905,0.045127282,0.06166796,0.024835646,0.035803549,0.017890537,0.012481426,0.021019345,0.020167209,0.02404544,0.039275299,0.018330309,0.022666667,0.013594207,0.039299969,0.05147551,0.034750252,0.024545962,0.029779523,0.055247954,0.015992892,0.045695531,0.018999404,0.014410087,0.01562595,0.006346494,0.047012475,0.029884645,0.016744849,0.0500381,0.015150574,0.032354627,0.021484259,0.04604654,0.0336118,0.024850096,0.021806475,0.037364379,0.021377672,0.019972708,0.024469821,0.032607366,0.044785201,0.028619424,0.021814904,0.037459494,0.012874233,0.036731725,0.013779405,0.031307551,0.045051237,0.01705379,0.009005198,0.008860448,0.043452262,0.013607518,0.012798362,0.029764044,0.006632013,0.020826244,0.025842697,0.032785861,0.009901615,0.011019284,0.018260542,0.013355593,0.018788612,0.032729625,0.059444377,0.032926605,0.014783399,0.007597792,0.020887087,0.033550792,0.019314604,0.007344973,0.009853144,0.045408994,0.03593947,0.022270398,0.009954058,0.016607209,0.017582688,0.018339121,0.012805729,0.016816074,0.023658256,0.030342749,0.017615346,0.027980462,0.007103205,0.016118076,0.024825542,0.01676942,0.015477112,0.014934361,0.019714892,0.03667752,0.025332682,0.028207232,0.015303195,0.01733673,0.035356818,0.032068145,0.049683422,0.019201881,0.015791129,0.020843672,0.022243966,0.027676106,0.008749698,0.020169399,0.040587602,0.008726215,0.008323058,0.017471264,0.026552984,0.022612757,0.023129165,0.05405068,0.031745079,0.036981321,0.063371275,0.031710818,0.032726829,0.032729204,0.040923021,0.044711687,0.030448618,0.034146042,0.035308874,0.093935249,0.012227074,0.00823389,0.02808918,0.012116892,0.044589518,0.008533984,0.004092527,0.027064413,0.008600327,0.013272229,0.008891276,0.015259269,0.016161744,0.011074919,0.018753516,0.021014308,0.004035658,0.050033154,0.018048295,0.045138889,0.025122249,0.015897963,0.08655303,0.014752693,0.019707411,0.019761169,0.008679516,0.015514724,0.007088364,0.007386228,0.009493481,0.014599867,0.015831135,0.003755982,0.029717682,0.024817879,0.013100171,0.012439447,0.037610352,0.005754969,0.011633694,0.017461746,0.011155761,0.00888462,0.009501766,0.015827601,0.010253353,0.006429129,0.008760429,0.005376023,0.013675109,0.021307158,0.009420859,0.01752539,0.016299668,0.016875811,0.027814321,0.023000819,0.02663377,0.033226991,0.01592655,0.021984436,0.033181754,0.02868171,0.010663935,0.01584343,0.016394438,0.017166606,0.014695894,0.007438959,0.02377451,0.025176045,0.009055237,0.021325829,0.012383901,0.016116423,0.035000989,0.016399395,0.031856553,0.029525982,0.015224957,0.015759224,0.015760735,0.024069084,0.013647261,0.053043204,0.0178948,0.016008935,0.019798983,0.010868238,0.012631709,0.019841517,0.017896115,0.015937232,0.018503263,0.019788076,0.014154237,0.027179929,0.007243315,0.021607444,0.010608161,0.012632215,0.012344936,0.021410891,0.005307729,0.015687925,0.016364414,0.010476428,0.01921845,0.007788544,0.013654354,0.008152507,0.009084258,0.01579995,0.003904344,0.005299809,0.008754209,0.01494358,0.009343526,0.049464747,0.00880325,0.011814074,0.030061665,0.002093552,0.018185114,0.023672131,0.022727273,0.025336551,0.023712283,0.022207309,0.010385115,0.023753846,0.009653436,0.005735452,0.017273436,0.032963052,0.016491845,0.008012916,0.007547853,0.005018974,0.002893484,0.01046798,0.02053301,0.039930663,0.010709259,0.014153276,0.004051565,0.013625304,0.008094456,0.016153705,0.00954611,0.012321461,0.003592741,0.011126565,0.009412333,0.018507463,0.011602345,0.006508769,0.01107279,0.041720272,0.002880078,0.019151764,0.004959665,0.005006937,0.010974941,0.003574294,0.008150031,0.007824726,0.002275979,0.011660297,0.002350255,0,0,0,0.00019772,0,0.000190852,0.000136231,0,0.002195836,0.000761404,0.003450604,0.003340757,0,0,0,0,0,0,0.008199545,0.001534705,0.000400384,0,0.000631114,0.001874734,0.0054375,0.007176354,0.001354402,0.001281085,0.002697703,0.006412997,0.002794225,0.0031562,0.001240156,0.002007528,0.002282556,0.004565661,0.000947226,0.003972389,0.008621775,0.00436747,0.001142857,0.005369216,0.007745104,0.00275702,0.005662309,0.006999018,0.013166645,0.016067653,0.008260476,0.004635203,0.00288854,0.004818132,0.010530219,0,0.023179212,0.001149343,0.006177434,0.01004174,0.001485583,0.003398628,0.002499695,0.00578828,0.017666544,0.003336366,0.001852848,0.004650878,0.002988716,0,0.005449254,0.008123577,0.001489707,0.006943129,0.002473605,0.011787332,0.00606878,0.004577089,0.003034901,0.005294547,0.007662042,0.004018216,0.007357715,0.004831852,0.004359409,0.006469561,0.006961903,0.004274548,0.002173103,0.003372681,0.000310713,0.000245715,0.000844289,0.000795302,0,0,0,0.001373177,0,0,0.002071734,0.014933092,0,0,0.001011954,0.001165501,0,0,0.006436473,0.000502797,0.004669214,0.005606778,0,0.004229484,0.000253635,0.002004008,0.007670805,0,0,0,0,0,0.001355338,0,0.009427993,0.002844501,0.000148854,0.007997169,0.006596565,0.005315801,0,0.002569939,0.013348846,0.006218988,0.014904042,0.003733788,0.003827751,0.001864049,0.001275123,0.00415591,0.002163951,0.003697194,0.01325652,0.004429016,0.000860813,0.00308642,0.001166073,0.004352624,0.002107874,0.000323897,0,0,0.001263903,0,0,0.001674934,0.000349186,0,0,0,0,0,0,0,0.006738794,0.022527776,0.000773994,0.010953172,0.006828248,0.003286271,0.002287916,0.004147382,0.001937984,0.000848074,0.00181664,0.006252368,0.001953125,0,0.010175763,0.010423129,0.005966439,0.015273865,0.020306135,0.000880005,0.003291809,0.003695492,0.005385306,0.005450942,0.005851301,0.002897121,0.001129809,0.005312249,0.000960615,0.004457743,0.003672444,0.0044703,0.004807388,0.004228719,0.005821475,0.002408623,0.006510802,0.001696764,0.001978417,0.002157885,0.002893705,0.001442481,0.003763109,0.024524525,0.004634645,0.00782116,0.006917476,0.019923232,0.006278361,0.001398431,0.004102627,0.003722414,0.000729685,0.002401626,0.013785464,0.002046836,0.008674934,0.000933707,0.001507254,0.004744366,0.001045683,0.013151486,0.003038221,0.000362691,0.007662835,0.002062231,0.003232625,0.001604047,0.0047053,0.006641837,0.003552755,0.00599841,0.00391605,0.005237659,0.004225352,0.003181125,0.011570042,0.006957503,0.003393177,0.003740315,0.009797157,0.001827137,0.002630159,0.008627905,0.00548019,0.001612591,0.008869581,0.01125345,0.00335698,0.006483828,0.001984127,0.006855898,0,0.009450862,0.002049045,0.003033559,0.015962145,0.002586745,0.007078179,0.009329601,0.000505657,0.004573283,0.003082258,0.003665319,0.000914977,0.000938212,0.001810501,0.002550207,0.000522466,0,0,0
